fecha_venta,var1(t-7 day),var1(t-6 day),var1(t-5 day),var1(t-4 day),var1(t-3 day),var1(t-2 day),var1(t-1 day),var1(t-5 week),var1(t-4 week),var1(t-3 week),var1(t-2 week),var1(t-1 week),var1(t),tavg_w,tmin_w,tmax_w,isfestivo,day,dayofweek,month,year,weekday
2023-04-07,216.0,210.0,315.0,210.0,204.0,231.0,327.0,273.0,255.0,177.0,150.0,216.0,330.0,13.9,8.5,19.8,1,7,5,4,2023,1
2023-04-08,210.0,315.0,210.0,204.0,231.0,327.0,330.0,303.0,312.0,327.0,309.0,210.0,267.0,14.1,6.4,21.5,1,8,6,4,2023,0
2023-04-09,315.0,210.0,204.0,231.0,327.0,330.0,267.0,429.0,276.0,369.0,321.0,315.0,315.0,14.9,9.3,20.6,1,9,7,4,2023,0
2023-04-10,210.0,204.0,231.0,327.0,330.0,267.0,315.0,201.0,150.0,153.0,183.0,210.0,213.0,22.8,12.7,33.7,0,10,1,4,2023,1
2023-04-11,204.0,231.0,327.0,330.0,267.0,315.0,213.0,168.0,219.0,216.0,156.0,204.0,153.0,17.8,14.6,22.6,0,11,2,4,2023,1
2023-04-12,231.0,327.0,330.0,267.0,315.0,213.0,153.0,183.0,192.0,216.0,207.0,231.0,183.0,22.6,14.5,29.7,0,12,3,4,2023,1
2023-04-13,327.0,330.0,267.0,315.0,213.0,153.0,183.0,177.0,255.0,270.0,192.0,327.0,138.0,20.2,15.4,26.5,0,13,4,4,2023,1
2023-04-14,330.0,267.0,315.0,213.0,153.0,183.0,138.0,255.0,177.0,150.0,216.0,330.0,204.0,21.8,16.1,29.2,0,14,5,4,2023,1
2023-04-15,267.0,315.0,213.0,153.0,183.0,138.0,204.0,312.0,327.0,309.0,210.0,267.0,276.0,22.0,18.1,27.8,0,15,6,4,2023,0
2023-04-16,315.0,213.0,153.0,183.0,138.0,204.0,276.0,276.0,369.0,321.0,315.0,315.0,333.0,18.8,14.7,24.2,0,16,7,4,2023,0
2023-04-17,213.0,153.0,183.0,138.0,204.0,276.0,333.0,150.0,153.0,183.0,210.0,213.0,192.0,15.8,10.8,20.6,0,17,1,4,2023,1
2023-04-18,153.0,183.0,138.0,204.0,276.0,333.0,192.0,219.0,216.0,156.0,204.0,153.0,234.0,15.7,10.4,21.5,0,18,2,4,2023,1
2023-04-19,183.0,138.0,204.0,276.0,333.0,192.0,234.0,192.0,216.0,207.0,231.0,183.0,183.0,16.3,13.4,20.9,0,19,3,4,2023,1
2023-04-20,138.0,204.0,276.0,333.0,192.0,234.0,183.0,255.0,270.0,192.0,327.0,138.0,222.0,16.3,11.0,22.3,0,20,4,4,2023,1
2023-04-21,204.0,276.0,333.0,192.0,234.0,183.0,222.0,177.0,150.0,216.0,330.0,204.0,216.0,18.2,10.7,26.5,0,21,5,4,2023,1
2023-04-22,276.0,333.0,192.0,234.0,183.0,222.0,216.0,327.0,309.0,210.0,267.0,276.0,297.0,20.8,14.8,27.8,0,22,6,4,2023,0
2023-04-23,333.0,192.0,234.0,183.0,222.0,216.0,297.0,369.0,321.0,315.0,315.0,333.0,336.0,21.2,16.9,26.8,0,23,7,4,2023,0
2023-04-24,192.0,234.0,183.0,222.0,216.0,297.0,336.0,153.0,183.0,210.0,213.0,192.0,204.0,18.4,13.7,25.5,0,24,1,4,2023,1
2023-04-25,234.0,183.0,222.0,216.0,297.0,336.0,204.0,216.0,156.0,204.0,153.0,234.0,246.0,19.4,14.0,28.3,0,25,2,4,2023,1
2023-04-26,183.0,222.0,216.0,297.0,336.0,204.0,246.0,216.0,207.0,231.0,183.0,183.0,162.0,20.3,15.5,26.0,0,26,3,4,2023,1
2023-04-27,222.0,216.0,297.0,336.0,204.0,246.0,162.0,270.0,192.0,327.0,138.0,222.0,216.0,19.1,15.0,24.5,0,27,4,4,2023,1
2023-04-28,216.0,297.0,336.0,204.0,246.0,162.0,216.0,150.0,216.0,330.0,204.0,216.0,183.0,20.8,16.6,26.7,0,28,5,4,2023,1
2023-04-29,297.0,336.0,204.0,246.0,162.0,216.0,183.0,309.0,210.0,267.0,276.0,297.0,249.0,25.6,18.7,34.3,0,29,6,4,2023,0
2023-04-30,336.0,204.0,246.0,162.0,216.0,183.0,249.0,321.0,315.0,315.0,333.0,336.0,330.0,23.1,18.2,27.7,0,30,7,4,2023,0
