fecha_venta,var1(t-7 day),var1(t-6 day),var1(t-5 day),var1(t-4 day),var1(t-3 day),var1(t-2 day),var1(t-1 day),var1(t-5 week),var1(t-4 week),var1(t-3 week),var1(t-2 week),var1(t-1 week),var1(t),tavg_w,tmin_w,tmax_w,isfestivo,day,dayofweek,month,year,weekday
2021-06-05,309.0,357.0,240.0,207.0,171.0,153.0,228.0,402.0,276.0,216.0,306.0,309.0,321.0,21.2,19.0,24.3,0,5,6,6,2021,0
2021-06-06,357.0,240.0,207.0,171.0,153.0,228.0,321.0,369.0,345.0,324.0,453.0,357.0,318.0,20.7,16.4,25.1,0,6,7,6,2021,0
2021-06-07,240.0,207.0,171.0,153.0,228.0,321.0,318.0,228.0,174.0,177.0,141.0,240.0,204.0,22.0,16.9,26.9,0,7,1,6,2021,1
2021-06-08,207.0,171.0,153.0,228.0,321.0,318.0,204.0,237.0,174.0,216.0,210.0,207.0,231.0,22.8,17.9,28.7,0,8,2,6,2021,1
2021-06-09,171.0,153.0,228.0,321.0,318.0,204.0,231.0,288.0,180.0,162.0,243.0,171.0,198.0,23.3,18.2,29.1,0,9,3,6,2021,1
2021-06-10,153.0,228.0,321.0,318.0,204.0,231.0,198.0,144.0,228.0,177.0,171.0,153.0,174.0,23.1,18.0,28.1,0,10,4,6,2021,1
2021-06-11,228.0,321.0,318.0,204.0,231.0,198.0,174.0,252.0,216.0,189.0,234.0,228.0,258.0,23.1,18.0,28.2,0,11,5,6,2021,1
2021-06-12,321.0,318.0,204.0,231.0,198.0,174.0,258.0,276.0,216.0,306.0,309.0,321.0,231.0,23.4,18.8,28.4,0,12,6,6,2021,0
2021-06-13,318.0,204.0,231.0,198.0,174.0,258.0,231.0,345.0,324.0,453.0,357.0,318.0,249.0,23.7,19.8,27.7,0,13,7,6,2021,0
2021-06-14,204.0,231.0,198.0,174.0,258.0,231.0,249.0,174.0,177.0,141.0,240.0,204.0,180.0,24.8,19.3,31.3,0,14,1,6,2021,1
2021-06-15,231.0,198.0,174.0,258.0,231.0,249.0,180.0,174.0,216.0,210.0,207.0,231.0,135.0,24.2,21.0,28.7,0,15,2,6,2021,1
2021-06-16,198.0,174.0,258.0,231.0,249.0,180.0,135.0,180.0,162.0,243.0,171.0,198.0,204.0,25.1,20.3,31.5,0,16,3,6,2021,1
2021-06-17,174.0,258.0,231.0,249.0,180.0,135.0,204.0,228.0,177.0,171.0,153.0,174.0,207.0,23.7,19.7,28.6,0,17,4,6,2021,1
2021-06-18,258.0,231.0,249.0,180.0,135.0,204.0,207.0,216.0,189.0,234.0,228.0,258.0,288.0,23.2,19.1,28.9,0,18,5,6,2021,1
2021-06-19,231.0,249.0,180.0,135.0,204.0,207.0,288.0,216.0,306.0,309.0,321.0,231.0,399.0,22.7,19.2,27.6,0,19,6,6,2021,0
2021-06-20,249.0,180.0,135.0,204.0,207.0,288.0,399.0,324.0,453.0,357.0,318.0,249.0,384.0,24.5,19.8,31.6,0,20,7,6,2021,0
2021-06-21,180.0,135.0,204.0,207.0,288.0,399.0,384.0,177.0,141.0,240.0,204.0,180.0,207.0,25.1,20.9,31.0,0,21,1,6,2021,1
2021-06-22,135.0,204.0,207.0,288.0,399.0,384.0,207.0,216.0,210.0,207.0,231.0,135.0,189.0,25.8,20.3,32.3,0,22,2,6,2021,1
2021-06-23,204.0,207.0,288.0,399.0,384.0,207.0,189.0,162.0,243.0,171.0,198.0,204.0,177.0,22.9,18.7,28.9,0,23,3,6,2021,1
2021-06-24,207.0,288.0,399.0,384.0,207.0,189.0,177.0,177.0,171.0,153.0,174.0,207.0,186.0,22.9,18.7,27.2,1,24,4,6,2021,1
2021-06-25,288.0,399.0,384.0,207.0,189.0,177.0,186.0,189.0,234.0,228.0,258.0,288.0,240.0,22.9,19.7,27.4,0,25,5,6,2021,1
2021-06-26,399.0,384.0,207.0,189.0,177.0,186.0,240.0,306.0,309.0,321.0,231.0,399.0,216.0,22.8,18.3,28.7,0,26,6,6,2021,0
2021-06-27,384.0,207.0,189.0,177.0,186.0,240.0,216.0,453.0,357.0,318.0,249.0,384.0,381.0,25.6,17.2,34.7,0,27,7,6,2021,0
2021-06-28,207.0,189.0,177.0,186.0,240.0,216.0,381.0,141.0,240.0,204.0,180.0,207.0,168.0,29.8,23.9,36.2,0,28,1,6,2021,1
2021-06-29,189.0,177.0,186.0,240.0,216.0,381.0,168.0,210.0,207.0,231.0,135.0,189.0,204.0,25.4,19.2,32.2,0,29,2,6,2021,1
2021-06-30,177.0,186.0,240.0,216.0,381.0,168.0,204.0,243.0,171.0,198.0,204.0,177.0,204.0,22.9,19.1,27.8,0,30,3,6,2021,1
2021-07-01,186.0,240.0,216.0,381.0,168.0,204.0,204.0,171.0,153.0,174.0,207.0,186.0,246.0,23.2,20.4,27.7,0,1,4,7,2021,1
2021-07-02,240.0,216.0,381.0,168.0,204.0,204.0,246.0,234.0,228.0,258.0,288.0,240.0,315.0,22.7,19.1,26.8,0,2,5,7,2021,1
2021-07-03,216.0,381.0,168.0,204.0,204.0,246.0,315.0,309.0,321.0,231.0,399.0,216.0,288.0,30.8,21.8,38.2,0,3,6,7,2021,0
2021-07-04,381.0,168.0,204.0,204.0,246.0,315.0,288.0,357.0,318.0,249.0,384.0,381.0,249.0,33.0,26.9,40.3,0,4,7,7,2021,0
2021-07-05,168.0,204.0,204.0,246.0,315.0,288.0,249.0,240.0,204.0,180.0,207.0,168.0,240.0,27.7,23.4,31.8,0,5,1,7,2021,1
2021-07-06,204.0,204.0,246.0,315.0,288.0,249.0,240.0,207.0,231.0,135.0,189.0,204.0,204.0,32.1,27.0,39.0,0,6,2,7,2021,1
2021-07-07,204.0,246.0,315.0,288.0,249.0,240.0,204.0,171.0,198.0,204.0,177.0,204.0,177.0,30.2,26.1,36.0,0,7,3,7,2021,1
2021-07-08,246.0,315.0,288.0,249.0,240.0,204.0,177.0,153.0,174.0,207.0,186.0,246.0,213.0,25.1,21.5,28.5,0,8,4,7,2021,1
2021-07-09,315.0,288.0,249.0,240.0,204.0,177.0,213.0,228.0,258.0,288.0,240.0,315.0,264.0,25.2,22.3,29.7,0,9,5,7,2021,1
2021-07-10,288.0,249.0,240.0,204.0,177.0,213.0,264.0,321.0,231.0,399.0,216.0,288.0,306.0,24.7,21.3,29.7,0,10,6,7,2021,0
2021-07-11,249.0,240.0,204.0,177.0,213.0,264.0,306.0,318.0,249.0,384.0,381.0,249.0,459.0,23.9,21.3,27.9,0,11,7,7,2021,0
2021-07-12,240.0,204.0,177.0,213.0,264.0,306.0,459.0,204.0,180.0,207.0,168.0,240.0,297.0,31.4,22.0,41.0,0,12,1,7,2021,1
2021-07-13,204.0,177.0,213.0,264.0,306.0,459.0,297.0,231.0,135.0,189.0,204.0,204.0,270.0,25.4,21.3,29.7,0,13,2,7,2021,1
2021-07-14,177.0,213.0,264.0,306.0,459.0,297.0,270.0,198.0,204.0,177.0,204.0,177.0,204.0,23.8,20.7,28.2,0,14,3,7,2021,1
2021-07-15,213.0,264.0,306.0,459.0,297.0,270.0,204.0,174.0,207.0,186.0,246.0,213.0,333.0,23.7,20.3,27.9,0,15,4,7,2021,1
2021-07-16,264.0,306.0,459.0,297.0,270.0,204.0,333.0,258.0,288.0,240.0,315.0,264.0,315.0,23.8,20.6,28.0,1,16,5,7,2021,1
2021-07-17,306.0,459.0,297.0,270.0,204.0,333.0,315.0,231.0,399.0,216.0,288.0,306.0,201.0,24.8,20.1,31.6,0,17,6,7,2021,0
2021-07-18,459.0,297.0,270.0,204.0,333.0,315.0,201.0,249.0,384.0,381.0,249.0,459.0,450.0,26.2,20.4,38.0,0,18,7,7,2021,0
2021-07-19,297.0,270.0,204.0,333.0,315.0,201.0,450.0,180.0,207.0,168.0,240.0,297.0,240.0,27.5,22.4,32.9,0,19,1,7,2021,1
2021-07-20,270.0,204.0,333.0,315.0,201.0,450.0,240.0,135.0,189.0,204.0,204.0,270.0,294.0,23.2,20.5,26.1,0,20,2,7,2021,1
2021-07-21,204.0,333.0,315.0,201.0,450.0,240.0,294.0,204.0,177.0,204.0,177.0,204.0,246.0,23.8,19.3,29.1,0,21,3,7,2021,1
2021-07-22,333.0,315.0,201.0,450.0,240.0,294.0,246.0,207.0,186.0,246.0,213.0,333.0,240.0,25.8,20.3,32.2,0,22,4,7,2021,1
2021-07-23,315.0,201.0,450.0,240.0,294.0,246.0,240.0,288.0,240.0,315.0,264.0,315.0,228.0,25.9,23.4,31.1,0,23,5,7,2021,1
2021-07-24,201.0,450.0,240.0,294.0,246.0,240.0,228.0,399.0,216.0,288.0,306.0,201.0,285.0,33.5,24.6,42.6,0,24,6,7,2021,0
2021-07-25,450.0,240.0,294.0,246.0,240.0,228.0,285.0,384.0,381.0,249.0,459.0,450.0,309.0,32.4,27.2,38.8,0,25,7,7,2021,0
2021-07-26,240.0,294.0,246.0,240.0,228.0,285.0,309.0,207.0,168.0,240.0,297.0,240.0,294.0,28.7,21.4,36.8,0,26,1,7,2021,1
2021-07-27,294.0,246.0,240.0,228.0,285.0,309.0,294.0,189.0,204.0,204.0,270.0,294.0,240.0,24.9,22.3,29.6,0,27,2,7,2021,1
2021-07-28,246.0,240.0,228.0,285.0,309.0,294.0,240.0,177.0,204.0,177.0,204.0,246.0,297.0,25.0,21.9,29.6,0,28,3,7,2021,1
2021-07-29,240.0,228.0,285.0,309.0,294.0,240.0,297.0,186.0,246.0,213.0,333.0,240.0,279.0,25.6,23.2,30.2,0,29,4,7,2021,1
2021-07-30,228.0,285.0,309.0,294.0,240.0,297.0,279.0,240.0,315.0,264.0,315.0,228.0,261.0,24.3,21.1,28.4,0,30,5,7,2021,1
2021-07-31,285.0,309.0,294.0,240.0,297.0,279.0,261.0,216.0,288.0,306.0,201.0,285.0,333.0,29.5,20.4,36.8,0,31,6,7,2021,0
2021-08-01,309.0,294.0,240.0,297.0,279.0,261.0,333.0,381.0,249.0,459.0,450.0,309.0,354.0,26.3,20.0,33.0,0,1,7,8,2021,0
2021-08-02,294.0,240.0,297.0,279.0,261.0,333.0,354.0,168.0,240.0,297.0,240.0,294.0,357.0,23.4,18.9,29.2,0,2,1,8,2021,1
2021-08-03,240.0,297.0,279.0,261.0,333.0,354.0,357.0,204.0,204.0,270.0,294.0,240.0,279.0,24.7,21.2,29.7,0,3,2,8,2021,1
2021-08-04,297.0,279.0,261.0,333.0,354.0,357.0,279.0,204.0,177.0,204.0,246.0,297.0,225.0,27.1,20.5,35.7,0,4,3,8,2021,1
2021-08-05,279.0,261.0,333.0,354.0,357.0,279.0,225.0,246.0,213.0,333.0,240.0,279.0,198.0,27.3,22.8,34.6,0,5,4,8,2021,1
2021-08-06,261.0,333.0,354.0,357.0,279.0,225.0,198.0,315.0,264.0,315.0,228.0,261.0,267.0,27.1,20.5,37.8,0,6,5,8,2021,1
2021-08-07,333.0,354.0,357.0,279.0,225.0,198.0,267.0,288.0,306.0,201.0,285.0,333.0,264.0,32.1,27.5,38.6,0,7,6,8,2021,0
2021-08-08,354.0,357.0,279.0,225.0,198.0,267.0,264.0,249.0,459.0,450.0,309.0,354.0,369.0,27.1,22.5,32.6,0,8,7,8,2021,0
2021-08-09,357.0,279.0,225.0,198.0,267.0,264.0,369.0,240.0,297.0,240.0,294.0,357.0,144.0,26.0,22.8,30.6,0,9,1,8,2021,1
2021-08-10,279.0,225.0,198.0,267.0,264.0,369.0,144.0,204.0,270.0,294.0,240.0,279.0,243.0,26.7,23.9,31.0,0,10,2,8,2021,1
2021-08-11,225.0,198.0,267.0,264.0,369.0,144.0,243.0,177.0,204.0,246.0,297.0,225.0,138.0,27.6,24.1,32.6,0,11,3,8,2021,1
2021-08-12,198.0,267.0,264.0,369.0,144.0,243.0,138.0,213.0,333.0,240.0,279.0,198.0,249.0,27.5,22.6,32.8,0,12,4,8,2021,1
2021-08-13,267.0,264.0,369.0,144.0,243.0,138.0,249.0,264.0,315.0,228.0,261.0,267.0,276.0,26.1,23.1,30.0,0,13,5,8,2021,1
2021-08-14,264.0,369.0,144.0,243.0,138.0,249.0,276.0,306.0,201.0,285.0,333.0,264.0,246.0,25.2,22.5,30.0,0,14,6,8,2021,0
2021-08-15,369.0,144.0,243.0,138.0,249.0,276.0,246.0,459.0,450.0,309.0,354.0,369.0,276.0,25.3,22.5,29.4,0,15,7,8,2021,0
2021-08-16,144.0,243.0,138.0,249.0,276.0,246.0,276.0,297.0,240.0,294.0,357.0,144.0,369.0,25.8,23.4,29.7,0,16,1,8,2021,1
2021-08-17,243.0,138.0,249.0,276.0,246.0,276.0,369.0,270.0,294.0,240.0,279.0,243.0,270.0,27.1,24.5,31.7,0,17,2,8,2021,1
2021-08-18,138.0,249.0,276.0,246.0,276.0,369.0,270.0,204.0,246.0,297.0,225.0,138.0,150.0,26.6,24.3,30.1,0,18,3,8,2021,1
2021-08-19,249.0,276.0,246.0,276.0,369.0,270.0,150.0,333.0,240.0,279.0,198.0,249.0,240.0,25.4,22.5,30.6,1,19,4,8,2021,1
2021-08-20,276.0,246.0,276.0,369.0,270.0,150.0,240.0,315.0,228.0,261.0,267.0,276.0,246.0,27.0,24.2,31.1,0,20,5,8,2021,1
2021-08-21,246.0,276.0,369.0,270.0,150.0,240.0,246.0,201.0,285.0,333.0,264.0,246.0,249.0,26.6,23.5,31.9,0,21,6,8,2021,0
2021-08-22,276.0,369.0,270.0,150.0,240.0,246.0,249.0,450.0,309.0,354.0,369.0,276.0,276.0,27.4,25.5,30.8,0,22,7,8,2021,0
2021-08-23,369.0,270.0,150.0,240.0,246.0,249.0,276.0,240.0,294.0,357.0,144.0,369.0,204.0,26.9,23.8,31.5,0,23,1,8,2021,1
2021-08-24,270.0,150.0,240.0,246.0,249.0,276.0,204.0,294.0,240.0,279.0,243.0,270.0,135.0,26.8,25.4,30.6,0,24,2,8,2021,1
2021-08-25,150.0,240.0,246.0,249.0,276.0,204.0,135.0,246.0,297.0,225.0,138.0,150.0,201.0,26.7,23.9,31.0,0,25,3,8,2021,1
2021-08-26,240.0,246.0,249.0,276.0,204.0,135.0,201.0,240.0,279.0,198.0,249.0,240.0,153.0,25.9,22.6,30.0,0,26,4,8,2021,1
2021-08-27,246.0,249.0,276.0,204.0,135.0,201.0,153.0,228.0,261.0,267.0,276.0,246.0,210.0,26.0,20.9,32.0,0,27,5,8,2021,1
2021-08-28,249.0,276.0,204.0,135.0,201.0,153.0,210.0,285.0,333.0,264.0,246.0,249.0,261.0,30.7,24.8,37.9,0,28,6,8,2021,0
2021-08-29,276.0,204.0,135.0,201.0,153.0,210.0,261.0,309.0,354.0,369.0,276.0,276.0,300.0,29.0,26.1,33.8,0,29,7,8,2021,0
2021-08-30,204.0,135.0,201.0,153.0,210.0,261.0,300.0,294.0,357.0,144.0,369.0,204.0,207.0,26.4,21.9,31.3,0,30,1,8,2021,1
2021-08-31,135.0,201.0,153.0,210.0,261.0,300.0,207.0,240.0,279.0,243.0,270.0,135.0,177.0,24.7,21.1,29.8,0,31,2,8,2021,1
2021-09-01,201.0,153.0,210.0,261.0,300.0,207.0,177.0,297.0,225.0,138.0,150.0,201.0,264.0,25.9,22.4,31.2,0,1,3,9,2021,1
2021-09-02,153.0,210.0,261.0,300.0,207.0,177.0,264.0,279.0,198.0,249.0,240.0,153.0,144.0,24.1,20.8,28.0,0,2,4,9,2021,1
